Location,Longitude,Latitude
RDA + BeltLine Westside Trail,-84.432617,33.738972
Huff Rd + Marietta Blvd,-84.428299,33.788456
MLK + Joseph E. Lowery,-84.417572,33.754745
Joseph E. Lowery + Westview,-84.417564,33.746616
Lee + RDA,-84.414101,33.738617
Ralph David Abernathy & Lee,-84.414101,33.738617
Howell Mill & Marietta,-84.409653,33.778736
Howell Mill Rd + Marietta St,-84.409653,33.778736
14th St. Bridge,-84.391045,33.786709
Edgewood/Peachtree),-84.389778,33.754486
5 Points,-84.389778,33.754486
Five Points,-84.389778,33.754486
17th & Spring,-84.389275,33.791794
5th St & West Peachtree St,-84.387321,33.776821
W. Peachtree St + 5th St,-84.387321,33.776821
West Peachtree & 5th,-84.387321,33.776821
Piedmont & Decatur,-84.385384,33.751461
Piedmont + Decatur,-84.385384,33.751461
Piedmont + Decatur St,-84.385384,33.751461
Piedmont Ave and Decatur St,-84.385384,33.751461
10th & Peachtree,-84.383972,33.781734
10th + Peachtree St,-84.383972,33.781734
Piedmont & Edgewood,-84.382294,33.754532
Piedmont + Edgewood,-84.382294,33.754532
Piedmont + Edgewood Ave,-84.382294,33.754532
Piedmont Ave and Edgewood Ave,-84.382294,33.754532
Cherokee & Woodward,-84.373436,33.745541
Cherokee + Woodward Ave,-84.373436,33.745541
BeltLine + Monroe,-84.368484,33.78207
Beltline + Monroe Dr,-84.368484,33.78207
Boulevard + Berne St,-84.368195,33.736813
BeltLine + Irwin,-84.36496,33.757633
Edgewood & Krog,-84.36425,33.754707
Edgewood Ave + Krog St,-84.36425,33.754707
Freedom Parkway Trail @ Sampson,-84.362167,33.76313
Freedom PATH,-84.362167,33.76313
Ponce De Leon + Freedom Pkwy Trail,-84.359848,33.773743
Virginia Ave + Lanier Blvd,-84.353088,33.782341
Freedom Parkway & Highland,-84.35247,33.769016
Highland & St. Charles,-84.35247,33.775402
Highland Ave + Freedom Pkwy,-84.35247,33.769016
North Highland Ave + St. Charles Place,-84.35247,33.775402
Little 5 Points,-84.349228,33.764969
Little Five Points,-84.349228,33.764969
Flat Shoals  + Greenwood Ave,-84.345451,33.740185
Flat Shoals + Glenwood,-84.345451,33.740185
Glenwood & Flat Shoals,-84.345451,33.740185
Hosea Williams + Rogers,-84.329163,33.753426
N. Decatur + Downman + N. Oxford,-84.325645,33.788494
North Decatur @ Oxford & Dowman,-84.325645,33.788494
Clairmont & Starvine,-84.307281,33.798695
Clairmont + Starvine,-84.307281,33.798695
Trinity & W Ponce,-84.306427,33.773048
Trinity & McDonough,-84.296494,33.773563
Clairemont Ave + Superior Ave,null,null
Five Points (Decatur/Marietta/,null,null
Midtown Plaza Ponce de Leon entrance,null,null
Moreland + Euclid,null,null
Moreland + McLendon,null,null
Sampson + North Highland Ave +,null,null
W Whitehead & Ralph David Abernathy,null,null
