hour,location,weekday,riders
00:00,10th St Cycle Track,Weekday,10
00:00,10th St Cycle Track,Weekend,10
00:00,BeltLine Irwin,Weekday,3
00:00,BeltLine Irwin,Weekend,0
00:00,BeltLine Monroe,Weekday,0
00:00,BeltLine Monroe,Weekend,0
00:00,BeltLine Ralph McGill,Weekday,1
00:00,BeltLine Ralph McGill,Weekend,0
00:00,Peachtree Center North,Weekday,4
00:00,Peachtree Center North,Weekend,13
00:00,Peachtree Center South,Weekday,6
00:00,Peachtree Center South,Weekend,5
01:00,10th St Cycle Track,Weekday,1
01:00,10th St Cycle Track,Weekend,5
01:00,BeltLine Irwin,Weekday,4
01:00,BeltLine Irwin,Weekend,0
01:00,BeltLine Monroe,Weekday,4
01:00,BeltLine Monroe,Weekend,0
01:00,BeltLine Ralph McGill,Weekday,2
01:00,BeltLine Ralph McGill,Weekend,0
01:00,Peachtree Center North,Weekday,6
01:00,Peachtree Center North,Weekend,0
01:00,Peachtree Center South,Weekday,2
01:00,Peachtree Center South,Weekend,1
02:00,10th St Cycle Track,Weekday,1
02:00,10th St Cycle Track,Weekend,1
02:00,BeltLine Irwin,Weekday,2
02:00,BeltLine Irwin,Weekend,0
02:00,BeltLine Monroe,Weekday,8
02:00,BeltLine Monroe,Weekend,1
02:00,BeltLine Ralph McGill,Weekday,0
02:00,BeltLine Ralph McGill,Weekend,0
02:00,Peachtree Center North,Weekday,9
02:00,Peachtree Center North,Weekend,2
02:00,Peachtree Center South,Weekday,3
02:00,Peachtree Center South,Weekend,0
03:00,10th St Cycle Track,Weekday,0
03:00,10th St Cycle Track,Weekend,3
03:00,BeltLine Irwin,Weekday,0
03:00,BeltLine Irwin,Weekend,0
03:00,BeltLine Monroe,Weekday,6
03:00,BeltLine Monroe,Weekend,0
03:00,BeltLine Ralph McGill,Weekday,1
03:00,BeltLine Ralph McGill,Weekend,0
03:00,Peachtree Center North,Weekday,2
03:00,Peachtree Center North,Weekend,2
03:00,Peachtree Center South,Weekday,1
03:00,Peachtree Center South,Weekend,0
04:00,10th St Cycle Track,Weekday,1
04:00,10th St Cycle Track,Weekend,1
04:00,BeltLine Irwin,Weekday,1
04:00,BeltLine Irwin,Weekend,0
04:00,BeltLine Monroe,Weekday,0
04:00,BeltLine Monroe,Weekend,0
04:00,BeltLine Ralph McGill,Weekday,0
04:00,BeltLine Ralph McGill,Weekend,0
04:00,Peachtree Center North,Weekday,7
04:00,Peachtree Center North,Weekend,0
04:00,Peachtree Center South,Weekday,2
04:00,Peachtree Center South,Weekend,0
05:00,10th St Cycle Track,Weekday,15
05:00,10th St Cycle Track,Weekend,2
05:00,BeltLine Irwin,Weekday,0
05:00,BeltLine Irwin,Weekend,0
05:00,BeltLine Monroe,Weekday,0
05:00,BeltLine Monroe,Weekend,0
05:00,BeltLine Ralph McGill,Weekday,0
05:00,BeltLine Ralph McGill,Weekend,0
05:00,Peachtree Center North,Weekday,3
05:00,Peachtree Center North,Weekend,14
05:00,Peachtree Center South,Weekday,1
05:00,Peachtree Center South,Weekend,1
06:00,10th St Cycle Track,Weekday,19
06:00,10th St Cycle Track,Weekend,4
06:00,BeltLine Irwin,Weekday,2
06:00,BeltLine Irwin,Weekend,0
06:00,BeltLine Monroe,Weekday,4
06:00,BeltLine Monroe,Weekend,1
06:00,BeltLine Ralph McGill,Weekday,4
06:00,BeltLine Ralph McGill,Weekend,0
06:00,Peachtree Center North,Weekday,0
06:00,Peachtree Center North,Weekend,6
06:00,Peachtree Center South,Weekday,5
06:00,Peachtree Center South,Weekend,2
07:00,10th St Cycle Track,Weekday,70
07:00,10th St Cycle Track,Weekend,10
07:00,BeltLine Irwin,Weekday,10
07:00,BeltLine Irwin,Weekend,0
07:00,BeltLine Monroe,Weekday,8
07:00,BeltLine Monroe,Weekend,0
07:00,BeltLine Ralph McGill,Weekday,5
07:00,BeltLine Ralph McGill,Weekend,0
07:00,Peachtree Center North,Weekday,7
07:00,Peachtree Center North,Weekend,9
07:00,Peachtree Center South,Weekday,16
07:00,Peachtree Center South,Weekend,1
08:00,10th St Cycle Track,Weekday,128
08:00,10th St Cycle Track,Weekend,64
08:00,BeltLine Irwin,Weekday,32
08:00,BeltLine Irwin,Weekend,2
08:00,BeltLine Monroe,Weekday,19
08:00,BeltLine Monroe,Weekend,6
08:00,BeltLine Ralph McGill,Weekday,23
08:00,BeltLine Ralph McGill,Weekend,0
08:00,Peachtree Center North,Weekday,24
08:00,Peachtree Center North,Weekend,11
08:00,Peachtree Center South,Weekday,26
08:00,Peachtree Center South,Weekend,1
09:00,10th St Cycle Track,Weekday,139
09:00,10th St Cycle Track,Weekend,111
09:00,BeltLine Irwin,Weekday,36
09:00,BeltLine Irwin,Weekend,1
09:00,BeltLine Monroe,Weekday,42
09:00,BeltLine Monroe,Weekend,8
09:00,BeltLine Ralph McGill,Weekday,27
09:00,BeltLine Ralph McGill,Weekend,2
09:00,Peachtree Center North,Weekday,21
09:00,Peachtree Center North,Weekend,15
09:00,Peachtree Center South,Weekday,28
09:00,Peachtree Center South,Weekend,5
10:00,10th St Cycle Track,Weekday,115
10:00,10th St Cycle Track,Weekend,166
10:00,BeltLine Irwin,Weekday,39
10:00,BeltLine Irwin,Weekend,22
10:00,BeltLine Monroe,Weekday,24
10:00,BeltLine Monroe,Weekend,22
10:00,BeltLine Ralph McGill,Weekday,35
10:00,BeltLine Ralph McGill,Weekend,2
10:00,Peachtree Center North,Weekday,33
10:00,Peachtree Center North,Weekend,5
10:00,Peachtree Center South,Weekday,22
10:00,Peachtree Center South,Weekend,4
11:00,10th St Cycle Track,Weekday,70
11:00,10th St Cycle Track,Weekend,251
11:00,BeltLine Irwin,Weekday,23
11:00,BeltLine Irwin,Weekend,19
11:00,BeltLine Monroe,Weekday,37
11:00,BeltLine Monroe,Weekend,43
11:00,BeltLine Ralph McGill,Weekday,21
11:00,BeltLine Ralph McGill,Weekend,0
11:00,Peachtree Center North,Weekday,45
11:00,Peachtree Center North,Weekend,60
11:00,Peachtree Center South,Weekday,33
11:00,Peachtree Center South,Weekend,3
12:00,10th St Cycle Track,Weekday,101
12:00,10th St Cycle Track,Weekend,234
