location,season,time,total,malepercent,male,female,helmet,onstreet,trafficdirection,laws,bikelane,Longitude,Latitude
10th & Peachtree,Fall 2009,AM,28,0.821428571428571,23,5,0.535714285714286,0.5,0.75,0.5,NA,-84.383972,33.781734
14th St. Bridge,Fall 2009,AM,6,1,6,0,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0,-84.391045,33.786709
17th & Spring,Fall 2009,AM,5,0.8,4,1,0.6,1,1,1,NA,-84.389275,33.791794
Cherokee & Woodward,Fall 2009,AM,22,0.818181818181818,18,4,0.727272727272727,0.954545454545455,1,0.954545454545455,0,-84.373436,33.745541
Clairmont & Starvine,Fall 2009,AM,26,NA,NA,NA,0.846153846153846,NA,1,0,0.961538461538462,-84.307281,33.798695
Edgewood & Krog,Fall 2009,AM,71,0.830985915492958,59,12,NA,NA,NA,0.859154929577465,NA,-84.36425,33.754707
Five Points,Fall 2009,AM,39,0.974358974358974,38,1,0.666666666666667,0.794871794871795,0.871794871794872,0.769230769230769,NA,-84.389778,33.754486
Flat Shoals + Glenwood,Fall 2009,AM,12,0.666666666666667,8,4,0.583333333333333,0.5,0.5,0.5,NA,-84.345451,33.740185
Highland & St. Charles,Fall 2009,AM,31,0.774193548387097,24,7,0.741935483870968,0.870967741935484,0.870967741935484,0.870967741935484,NA,-84.35247,33.775402
Howell Mill & Marietta,Fall 2009,AM,7,1,7,0,0.714285714285714,0.428571428571429,0.714285714285714,0.428571428571429,NA,-84.409653,33.778736
North Decatur @ Oxford & Dowman,Fall 2009,AM,35,0.714285714285714,25,10,0.885714285714286,0.8,NA,0.771428571428571,NA,-84.325645,33.788494
Ralph David Abernathy & Lee,Fall 2009,AM,6,0.833333333333333,5,1,0,0.833333333333333,0.666666666666667,0.666666666666667,NA,-84.414101,33.738617
Trinity & McDonough,Fall 2009,AM,7,0.857142857142857,6,1,0.714285714285714,1,1,1,NA,-84.296494,33.773563
Trinity & W Ponce,Fall 2009,AM,20,0.85,17,3,0.85,0.7,0.85,0.7,NA,-84.306427,33.773048
West Peachtree & 5th,Fall 2009,AM,56,0.875,49,7,0.517857142857143,0.767857142857143,0.875,0.75,NA,-84.387321,33.776821
10th & Peachtree,Fall 2009,PM,55,0.909090909090909,50,5,0.309090909090909,0.581818181818182,0.872727272727273,0.581818181818182,NA,-84.383972,33.781734
14th St. Bridge,Fall 2009,PM,10,0.7,7,3,0.4,0.8,0.9,0.8,0,-84.391045,33.786709
Cherokee & Woodward,Fall 2009,PM,14,0.857142857142857,12,2,0.642857142857143,0.928571428571429,0.928571428571429,0.857142857142857,0,-84.373436,33.745541
Clairmont & Starvine,Fall 2009,PM,37,NA,NA,NA,0.675675675675676,NA,1,0.027027027027027,NA,-84.307281,33.798695
Edgewood & Krog,Fall 2009,PM,104,0.807692307692308,84,20,NA,0.923076923076923,0.961538461538462,0.903846153846154,NA,-84.36425,33.754707
Flat Shoals + Glenwood,Fall 2009,PM,13,0.846153846153846,11,2,0.307692307692308,0.769230769230769,0.923076923076923,0.769230769230769,NA,-84.345451,33.740185
Highland & St. Charles,Fall 2009,PM,72,NA,NA,NA,0.694444444444444,0.833333333333333,0.819444444444444,0.722222222222222,NA,-84.35247,33.775402
Howell Mill & Marietta,Fall 2009,PM,18,0.833333333333333,15,3,0.722222222222222,0.555555555555556,0.722222222222222,0.555555555555556,NA,-84.409653,33.778736
Little 5 Points,Fall 2009,PM,122,0.795081967213115,97,25,NA,NA,NA,0.573770491803279,NA,-84.349228,33.764969
North Decatur @ Oxford & Dowman,Fall 2009,PM,65,NA,NA,NA,0.738461538461539,0.6,NA,0.461538461538462,NA,-84.325645,33.788494
Trinity & W Ponce,Fall 2009,PM,8,0.625,5,3,0.75,0.25,0.75,0.25,NA,-84.306427,33.773048
Little 5 Points,Fall 2009,Saturday,28,0.642857142857143,18,10,0.535714285714286,0.964285714285714,0.928571428571429,0.928571428571429,NA,-84.349228,33.764969
17th & Spring,Fall 2010,AM,9,1,9,0,0.666666666666667,0.222222222222222,0.666666666666667,0.222222222222222,NA,-84.389275,33.791794
Edgewood & Krog,Fall 2010,AM,77,NA,NA,NA,0.727272727272727,0.974025974025974,0.961038961038961,0.961038961038961,0.961038961038961,-84.36425,33.754707
Flat Shoals + Glenwood,Fall 2010,AM,15,0.666666666666667,10,5,0.466666666666667,0.8,0.866666666666667,0.8,NA,-84.345451,33.740185
Highland & St. Charles,Fall 2010,AM,47,0.765957446808511,36,11,0.787234042553192,0.872340425531915,0.936170212765957,0.851063829787234,NA,-84.35247,33.775402
Little 5 Points,Fall 2010,AM,28,0.785714285714286,22,6,0.678571428571429,0.714285714285714,0.857142857142857,0.714285714285714,NA,-84.349228,33.764969
North Decatur @ Oxford & Dowman,Fall 2010,AM,41,0.75609756097561,31,10,0.829268292682927,0.731707317073171,0.75609756097561,0.682926829268293,NA,-84.325645,33.788494
West Peachtree & 5th,Fall 2010,AM,68,0.852941176470588,58,10,0.720588235294118,0.882352941176471,0.955882352941177,0.867647058823529,0.897058823529412,-84.387321,33.776821
10th & Peachtree,Fall 2010,PM,60,NA,NA,NA,0.4,0.566666666666667,NA,0.566666666666667,NA,-84.383972,33.781734
17th & Spring,Fall 2010,PM,6,0.833333333333333,5,1,0.5,0.5,0.666666666666667,0.5,0.5,-84.389275,33.791794
Flat Shoals + Glenwood,Fall 2010,PM,28,0.857142857142857,24,4,0.428571428571429,0.785714285714286,0.892857142857143,0.785714285714286,NA,-84.345451,33.740185
Highland & St. Charles,Fall 2010,PM,93,0.827956989247312,77,16,0.602150537634409,0.655913978494624,0.903225806451613,0.655913978494624,NA,-84.35247,33.775402
Howell Mill & Marietta,Fall 2010,PM,8,NA,NA,NA,0.375,0.625,0.875,0.625,NA,-84.409653,33.778736
Little 5 Points,Fall 2010,PM,74,0.824324324324324,61,13,0.5,0.72972972972973,0.878378378378378,0.716216216216216,NA,-84.349228,33.764969
North Decatur @ Oxford & Dowman,Fall 2010,PM,59,NA,NA,NA,0.813559322033898,0.830508474576271,0.915254237288136,0.813559322033898,NA,-84.325645,33.788494
